,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
171,379.73,0.12767,0.74190,1.3479,2513.7,2685.8,7.2769,1.5741,2.1083,475.48,61.569,12.461,0.025228,vapor
172,380.35,0.13043,0.75685,1.3213,2514.5,2686.8,7.2698,1.5759,2.1112,475.79,61.116,12.482,0.025291,vapor
173,380.98,0.13323,0.77204,1.2953,2515.2,2687.7,7.2626,1.5778,2.1141,476.09,60.669,12.504,0.025355,vapor
174,381.60,0.13608,0.78748,1.2699,2515.9,2688.7,7.2556,1.5796,2.1170,476.39,60.228,12.526,0.025419,vapor
175,382.22,0.13898,0.80317,1.2451,2516.6,2689.7,7.2485,1.5815,2.1199,476.69,59.791,12.547,0.025483,vapor
176,382.85,0.14193,0.81911,1.2208,2517.3,2690.6,7.2415,1.5834,2.1229,476.99,59.360,12.569,0.025548,vapor
177,383.47,0.14493,0.83531,1.1972,2518.0,2691.5,7.2345,1.5853,2.1259,477.29,58.934,12.591,0.025613,vapor
178,384.09,0.14799,0.85176,1.1740,2518.8,2692.5,7.2275,1.5873,2.1290,477.58,58.512,12.612,0.025678,vapor
179,384.72,0.15109,0.86848,1.1514,2519.5,2693.4,7.2206,1.5892,2.1320,477.88,58.096,12.634,0.025743,vapor
180,385.34,0.15425,0.88547,1.1293,2520.2,2694.4,7.2136,1.5912,2.1351,478.17,57.684,12.656,0.025809,vapor
181,385.96,0.15747,0.90272,1.1078,2520.9,2695.3,7.2067,1.5932,2.1383,478.46,57.277,12.677,0.025874,vapor
182,386.59,0.16074,0.92024,1.0867,2521.6,2696.2,7.1999,1.5952,2.1415,478.75,56.875,12.699,0.025940,vapor
183,387.21,0.16406,0.93804,1.0660,2522.3,2697.2,7.1930,1.5973,2.1447,479.04,56.477,12.720,0.026007,vapor
184,387.83,0.16744,0.95612,1.0459,2523.0,2698.1,7.1862,1.5993,2.1479,479.33,56.084,12.742,0.026073,vapor
185,388.46,0.17088,0.97448,1.0262,2523.7,2699.0,7.1794,1.6014,2.1512,479.62,55.694,12.764,0.026140,vapor
186,389.08,0.17438,0.99312,1.0069,2524.4,2700.0,7.1727,1.6035,2.1545,479.90,55.310,12.785,0.026207,vapor
187,389.70,0.17793,1.0120,0.98810,2525.1,2700.9,7.1659,1.6056,2.1578,480.19,54.929,12.807,0.026274,vapor
188,390.33,0.18155,1.0313,0.96968,2525.8,2701.8,7.1592,1.6077,2.1612,480.47,54.552,12.829,0.026342,vapor
189,390.95,0.18522,1.0508,0.95168,2526.4,2702.7,7.1525,1.6099,2.1646,480.75,54.180,12.850,0.026410,vapor
190,391.57,0.18895,1.0706,0.93407,2527.1,2703.6,7.1459,1.6121,2.1681,481.03,53.811,12.872,0.026478,vapor
191,392.20,0.19275,1.0907,0.91684,2527.8,2704.5,7.1392,1.6143,2.1716,481.31,53.446,12.893,0.026547,vapor
192,392.82,0.19660,1.1111,0.90000,2528.5,2705.4,7.1326,1.6165,2.1751,481.59,53.085,12.915,0.026615,vapor
193,393.44,0.20052,1.1318,0.88352,2529.2,2706.4,7.1260,1.6187,2.1786,481.86,52.728,12.937,0.026684,vapor
